Args parsed
Training student without distillation (Full data but without smote)

Validating the train path:/home/micml/25m0764/MIC_project/final_dataset/dataset_600/train
Validating the train path:/home/micml/25m0764/MIC_project/final_dataset/dataset_600/test
Train size: 2833
Test size: 828
Creating model: teacher_model
Model created
The teacher_model has number of params = 3948677
Using weighted loss function for training
Starting training
Epoch [131/200], Training Loss: 0.4185, Training Accuracy: 81.01%, Validation Loss: 0.5306, Validation Accuracy: 83.21%
Epoch [132/200], Training Loss: 0.4105, Training Accuracy: 80.69%, Validation Loss: 0.6362, Validation Accuracy: 78.99%
Epoch [133/200], Training Loss: 0.4113, Training Accuracy: 80.23%, Validation Loss: 0.5364, Validation Accuracy: 82.49%
Epoch [134/200], Training Loss: 0.4019, Training Accuracy: 80.94%, Validation Loss: 0.4462, Validation Accuracy: 86.23%
Epoch [135/200], Training Loss: 0.4329, Training Accuracy: 79.67%, Validation Loss: 0.5697, Validation Accuracy: 82.25%
Epoch [136/200], Training Loss: 0.4322, Training Accuracy: 79.28%, Validation Loss: 0.4361, Validation Accuracy: 85.75%
Epoch [137/200], Training Loss: 0.3972, Training Accuracy: 81.08%, Validation Loss: 0.5396, Validation Accuracy: 84.66%
Epoch [138/200], Training Loss: 0.3748, Training Accuracy: 82.24%, Validation Loss: 0.4566, Validation Accuracy: 85.99%
Epoch [139/200], Training Loss: 0.3540, Training Accuracy: 82.99%, Validation Loss: 0.7054, Validation Accuracy: 78.74%
Epoch [140/200], Training Loss: 0.3974, Training Accuracy: 80.83%, Validation Loss: 0.6957, Validation Accuracy: 80.19%
Epoch [141/200], Training Loss: 0.3887, Training Accuracy: 81.19%, Validation Loss: 0.6581, Validation Accuracy: 78.74%
Epoch [142/200], Training Loss: 0.3744, Training Accuracy: 82.10%, Validation Loss: 0.6030, Validation Accuracy: 80.80%
Epoch [143/200], Training Loss: 0.3724, Training Accuracy: 81.43%, Validation Loss: 0.5514, Validation Accuracy: 82.37%
Epoch [144/200], Training Loss: 0.3970, Training Accuracy: 80.66%, Validation Loss: 0.6982, Validation Accuracy: 79.11%
Epoch [145/200], Training Loss: 0.3478, Training Accuracy: 82.92%, Validation Loss: 0.9634, Validation Accuracy: 70.89%
Epoch [146/200], Training Loss: 0.3807, Training Accuracy: 81.47%, Validation Loss: 0.5256, Validation Accuracy: 85.02%
Epoch [147/200], Training Loss: 0.3746, Training Accuracy: 83.06%, Validation Loss: 0.5532, Validation Accuracy: 83.57%
Epoch [148/200], Training Loss: 0.3845, Training Accuracy: 81.93%, Validation Loss: 0.5480, Validation Accuracy: 84.06%
Epoch [149/200], Training Loss: 0.3995, Training Accuracy: 81.68%, Validation Loss: 0.6206, Validation Accuracy: 82.37%
Epoch [150/200], Training Loss: 0.3342, Training Accuracy: 83.66%, Validation Loss: 0.7393, Validation Accuracy: 80.68%
Epoch [151/200], Training Loss: 0.3375, Training Accuracy: 84.22%, Validation Loss: 0.5740, Validation Accuracy: 82.97%
Epoch [152/200], Training Loss: 0.3622, Training Accuracy: 83.23%, Validation Loss: 0.6785, Validation Accuracy: 79.95%
Epoch [153/200], Training Loss: 0.3451, Training Accuracy: 83.87%, Validation Loss: 0.7807, Validation Accuracy: 78.99%
Epoch [154/200], Training Loss: 0.3119, Training Accuracy: 85.03%, Validation Loss: 0.6285, Validation Accuracy: 81.64%
Epoch [155/200], Training Loss: 0.3040, Training Accuracy: 84.65%, Validation Loss: 0.6452, Validation Accuracy: 82.13%
Epoch [156/200], Training Loss: 0.3363, Training Accuracy: 83.62%, Validation Loss: 0.6336, Validation Accuracy: 79.71%
Epoch [157/200], Training Loss: 0.3290, Training Accuracy: 84.43%, Validation Loss: 0.5649, Validation Accuracy: 84.18%
Epoch [158/200], Training Loss: 0.3395, Training Accuracy: 84.19%, Validation Loss: 0.6875, Validation Accuracy: 78.62%
Training time 1:37:54
